Accounting Account Number,Custody Fund Number,Fund Name,Trade ID,Trade Date,Settle Date,Security Description,Receive Currency,Receive Amount,Deliver Currency,Deliver Amount,Contract FX Rate,Transaction Type,Executing Broker Name
IMP092P,IMP092P,LRIOILFX,908409216_0_1,11/22/2024,12/31/2024,FX FORWARD,CAD,44735816.29,USD,32041536.34,1.396182,FORWARD,Royal Bank of Canada
IMP092P,IMP092P,LRIOILFX,908590395_0_1,11/25/2024,12/31/2024,FX FORWARD,CAD,44768594.78,USD,32041536.34,1.397205,FORWARD,Bank of Montreal
IMP092P,IMP092P,LRIOILFX,908716985_0_1,11/26/2024,12/31/2024,FX FORWARD,CAD,44989681.38,USD,32041536.34,1.404105,FORWARD,TD Bank
IMP092P,IMP092P,LRIOILFX,908719571_0_1,11/26/2024,12/31/2024,FX FORWARD,CAD,44991283.46,USD,32041536.34,1.404155,FORWARD,TD Bank
IMP092P,IMP092P,LRIOILFX,908836162_0_1,11/27/2024,12/31/2024,FX FORWARD,CAD,44895319.06,USD,32041536.34,1.40116,FORWARD,JP Morgan
IMP092P,IMP092P,LRIOILFX,909035879F_0_1,11/29/2024,12/31/2024,FX FORWARD,USD,2860066.25,CAD,4000000,1.398569,FORWARD,Royal Bank of Canada
IMP092P,IMP092P,LRIOILFX,909049646_0_1,11/29/2024,12/31/2024,FX FORWARD,CAD,151988.33,USD,108672.62,1.398589,FORWARD,Royal Bank of Canada
IMP092P,IMP092P,LRIOILFX,909463494_0_1,12/04/2024,12/12/2024,FX FORWARD,CAD,1406.16,USD,1000,1.406161,FORWARD,IMROCATB
IMP092L,IMP092L,LRIORPFX,908409215_0_1,11/22/2024,12/31/2024,FX FORWARD,USD,1218006.65,CAD,1700558.96,1.396182,FORWARD,Royal Bank of Canada
IMP092L,IMP092L,LRIORPFX,908590396_0_1,11/25/2024,12/31/2024,FX FORWARD,USD,1218006.65,CAD,1701804.98,1.397205,FORWARD,Bank of Montreal
IMP092L,IMP092L,LRIORPFX,908716986_0_1,11/26/2024,12/31/2024,FX FORWARD,USD,1218006.65,CAD,1710209.23,1.404105,FORWARD,TD Bank
IMP092L,IMP092L,LRIORPFX,908719570_0_1,11/26/2024,12/31/2024,FX FORWARD,USD,1218006.65,CAD,1710270.13,1.404155,FORWARD,TD Bank
IMP092L,IMP092L,LRIORPFX,908836161_0_1,11/27/2024,12/31/2024,FX FORWARD,USD,1218006.64,CAD,1706622.18,1.40116,FORWARD,JP Morgan
IMP092L,IMP092L,LRIORPFX,909049647_0_1,11/29/2024,12/31/2024,FX FORWARD,USD,50186.54,CAD,70190.34,1.398589,FORWARD,Royal Bank of Canada
IMP092L,IMP092L,LRIORPFX,909463495_0_1,12/04/2024,12/12/2024,FX FORWARD,USD,1000,CAD,1406.16,1.406161,FORWARD,IMROCATB
IMP082P,IMP082P,INSOILFX,908409216_0_0,11/22/2024,12/31/2024,FX FORWARD,CAD,1000017172,USD,716251299.8,1.396182,FORWARD,Royal Bank of Canada
IMP082P,IMP082P,INSOILFX,908590395_0_0,11/25/2024,12/31/2024,FX FORWARD,CAD,1000749897,USD,716251299.8,1.397205,FORWARD,Bank of Montreal
IMP082P,IMP082P,INSOILFX,908716985_0_0,11/26/2024,12/31/2024,FX FORWARD,CAD,1005692031,USD,716251299.8,1.404105,FORWARD,TD Bank
IMP082P,IMP082P,INSOILFX,908719571_0_0,11/26/2024,12/31/2024,FX FORWARD,CAD,1005727844,USD,716251299.8,1.404155,FORWARD,TD Bank
IMP082P,IMP082P,INSOILFX,908836162_0_0,11/27/2024,12/31/2024,FX FORWARD,CAD,1003582671,USD,716251299.8,1.40116,FORWARD,JP Morgan
IMP082P,IMP082P,INSOILFX,909049646_0_0,11/29/2024,12/31/2024,FX FORWARD,CAD,2942339.82,USD,2103791.62,1.398589,FORWARD,Royal Bank of Canada
IMP082P,IMP082P,INSOILFX,909463494_0_0,12/04/2024,12/12/2024,FX FORWARD,CAD,1406.16,USD,1000,1.406161,FORWARD,IMROCATB
IMP082L,IMP082L,INSORPFX,908409215_0_0,11/22/2024,12/31/2024,FX FORWARD,USD,202311915.1,CAD,282464254.3,1.396182,FORWARD,Royal Bank of Canada
IMP082L,IMP082L,INSORPFX,908590396_0_0,11/25/2024,12/31/2024,FX FORWARD,USD,202311915.1,CAD,282671219.4,1.397205,FORWARD,Bank of Montreal
IMP082L,IMP082L,INSORPFX,908716986_0_0,11/26/2024,12/31/2024,FX FORWARD,USD,202311915.1,CAD,284067171.6,1.404105,FORWARD,TD Bank
IMP082L,IMP082L,INSORPFX,908719570_0_0,11/26/2024,12/31/2024,FX FORWARD,USD,202311915.1,CAD,284077287.2,1.404155,FORWARD,TD Bank
IMP082L,IMP082L,INSORPFX,908836161_0_0,11/27/2024,12/31/2024,FX FORWARD,USD,202311915.1,CAD,283471363,1.40116,FORWARD,JP Morgan
IMP082L,IMP082L,INSORPFX,909049647_0_0,11/29/2024,12/31/2024,FX FORWARD,USD,3331059.7,CAD,4658783.45,1.398589,FORWARD,Royal Bank of Canada
IMP082L,IMP082L,INSORPFX,909463495_0_0,12/04/2024,12/12/2024,FX FORWARD,USD,1000,CAD,1406.16,1.406161,FORWARD,IMROCATB
IMP022Y,882550,GPEGEQFX,906743564F_0_1,11/06/2024,12/16/2024,FX FORWARD,JPY,15810491429,CAD,143328206.2,110.3097,FORWARD,Royal Bank of Canada
IMP022Y,882550,GPEGEQFX,906748561F_0_1,11/06/2024,12/16/2024,FX FORWARD,AUD,137299486.1,CAD,125742329.4,0.9158252,FORWARD,JP Morgan
IMP022Y,882550,GPEGEQFX,906788766F_0_1,11/06/2024,12/16/2024,FX FORWARD,EUR,24204754.77,CAD,36201938.29,1.495654,FORWARD,Royal Bank of Canada
IMP022Y,882550,GPEGEQFX,906793178F_0_1,11/06/2024,12/16/2024,FX FORWARD,NZD,4506650.99,CAD,3729328.05,0.8275165,FORWARD,TD Bank
IMP022Y,882550,GPEGEQFX,906795842F_0_1,11/06/2024,12/16/2024,FX FORWARD,CAD,85464188.56,DKK,425713361.4,4.98119,FORWARD,Royal Bank of Canada
IMP022Y,882550,GPEGEQFX,906801915F_0_1,11/06/2024,12/16/2024,FX FORWARD,NOK,14356794.53,CAD,1803697.01,7.9596487,FORWARD,TD Bank
IMP022Y,882550,GPEGEQFX,906804227F_0_1,11/06/2024,12/16/2024,FX FORWARD,CAD,79639959.77,GBP,44405852.17,1.7934564,FORWARD,JP Morgan
IMP022Y,882550,GPEGEQFX,906806834F_0_1,11/06/2024,12/16/2024,FX FORWARD,CAD,7572669.1,SGD,7240796.88,0.956175,FORWARD,Royal Bank of Canada
IMP022Y,882550,GPEGEQFX,906809278F_0_1,11/06/2024,12/16/2024,FX FORWARD,CHF,56744186.34,CAD,90545428.69,0.626693,FORWARD,TD Bank
IMP022Y,882550,GPEGEQFX,906813017F_0_1,11/06/2024,12/16/2024,FX FORWARD,CAD,25988769.44,HKD,145004884.8,5.579521,FORWARD,Royal Bank of Canada
IMP022Y,882550,GPEGEQFX,906815287F_0_1,11/06/2024,12/16/2024,FX FORWARD,JPY,15810491429,CAD,143275862.5,110.35,FORWARD,JP Morgan
IMP022Y,882550,GPEGEQFX,906818379F_0_1,11/06/2024,12/16/2024,FX FORWARD,CAD,1467397.71,SEK,11429439.41,7.7889173,FORWARD,TD Bank
IMP022Y,882550,GPEGEQFX,906818480F_0_1,11/06/2024,12/16/2024,FX FORWARD,ILS,39439875.81,CAD,14680177.81,2.6866075,FORWARD,JP Morgan
IMP022Y,882550,GPEGEQFX,906818485F_0_1,11/06/2024,12/16/2024,FX FORWARD,USD,54332759.94,CAD,75565459.2,1.39079,FORWARD,TD Bank
